x, y
0.009703553397700472, 0.14930962343096235
0.08948788707147069, 0.14452300591249348
0.20592993558899092, 0.13777823935792038
0.31590298141109335, 0.13168619246861926
0.4474394353573534, 0.1251589958158996
0.5574124811794559, 0.12037237829743071
0.6479785189153049, 0.11471548117154813
0.7191375485649006, 0.10884100418410043
0.7859839755569829, 0.10274894733508762
0.8463612024353521, 0.09535145115553087
0.9045822266941123, 0.08708367536856042
0.9757412563437079, 0.07468200172839305
1.059838291384139, 0.059234309623430965
1.1266847183762214, 0.043786597599045504
1.2043127507212348, 0.025728026832995556
1.3013477911525018, -0.0003807597778831067
