x, y
0, 0.0014792899408284023
0.017638114546376076, 0.04437869822485207
0.03380638621388748, 0.08284023668639053
0.0543841865179929, 0.1257396449704142
0.0705524581855043, 0.16568047337278105
0.09113025848960972, 0.20857988165680472
0.11170805879371515, 0.2514792899408284
0.1366953877344146, 0.30029585798816566
0.16168271667511402, 0.34763313609467456
0.18813988849467814, 0.3949704142011834
0.2116573745565129, 0.4378698224852071
0.24693360364926506, 0.49260355029585795
0.28514951849974657, 0.5458579881656804
0.3307146477445514, 0.6020710059171598
0.3659908768373036, 0.6405325443786982
0.4130258489609731, 0.6863905325443787
0.4527116066903193, 0.7204142011834319
0.49533705017739477, 0.7529585798816568
0.5409021794221996, 0.7825443786982248
0.5908768373035985, 0.8076923076923077
0.6408514951849974, 0.82396449704142
0.6834769386720729, 0.8121301775147929
0.7172833248859604, 0.7855029585798816
0.7393309680689305, 0.7455621301775148
0.7525595539787125, 0.7011834319526628
0.7613786112519005, 0.6568047337278107
0.7701976685250886, 0.6094674556213018
0.7760770400405473, 0.5636094674556212
0.7804865686771413, 0.5236686390532544
0.7848960973137353, 0.46893491124260356
0.790775468829194, 0.41420118343195267
0.7966548403446527, 0.3594674556213018
0.7995945261023821, 0.3076923076923077
0.8010643689812468, 0.25
0.8054738976178408, 0.1863905325443787
0.8084135833755701, 0.1242603550295858
0.8113532691332994, 0.0665680473372781
0.8142929548910288, 0.013313609467455622
