  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -3.000   0.0708   0.01001   0.00334  -0.0865   0.8243   0.0499
  -2.750   0.0977   0.00975   0.00303  -0.0862   0.8152   0.0517
  -2.500   0.1247   0.00956   0.00281  -0.0859   0.8055   0.0542
  -2.250   0.1520   0.00941   0.00263  -0.0856   0.7968   0.0576
  -2.000   0.1789   0.00920   0.00244  -0.0853   0.7867   0.0719
  -1.750   0.2052   0.00889   0.00227  -0.0849   0.7768   0.1219
  -1.500   0.2310   0.00852   0.00218  -0.0846   0.7663   0.2027
  -1.250   0.2576   0.00831   0.00212  -0.0844   0.7573   0.2642
  -1.000   0.2843   0.00813   0.00208  -0.0841   0.7478   0.3159
  -0.750   0.3107   0.00794   0.00203  -0.0839   0.7392   0.3791
  -0.500   0.3356   0.00754   0.00202  -0.0834   0.7297   0.4972
  -0.250   0.3587   0.00712   0.00203  -0.0824   0.7207   0.6441
   0.000   0.3802   0.00672   0.00210  -0.0808   0.7113   0.7867
   0.250   0.4039   0.00657   0.00217  -0.0792   0.7016   0.8937
   0.500   0.4418   0.00659   0.00222  -0.0810   0.6907   0.9527
   0.750   0.4866   0.00669   0.00223  -0.0844   0.6793   0.9833
   1.000   0.5438   0.00674   0.00222  -0.0907   0.6669   1.0000
   1.250   0.5687   0.00682   0.00222  -0.0901   0.6559   1.0000
   1.500   0.5934   0.00690   0.00222  -0.0894   0.6437   1.0000
   1.750   0.6182   0.00698   0.00225  -0.0887   0.6314   1.0000
   2.000   0.6426   0.00709   0.00228  -0.0880   0.6186   1.0000
   2.250   0.6671   0.00719   0.00232  -0.0873   0.6044   1.0000
   2.500   0.6914   0.00731   0.00237  -0.0865   0.5892   1.0000
   2.750   0.7152   0.00745   0.00244  -0.0856   0.5727   1.0000
   3.000   0.7389   0.00761   0.00251  -0.0847   0.5554   1.0000
   3.250   0.7624   0.00779   0.00261  -0.0838   0.5373   1.0000
   3.500   0.7858   0.00798   0.00272  -0.0829   0.5175   1.0000
   3.750   0.8089   0.00821   0.00284  -0.0819   0.4939   1.0000
   4.000   0.8308   0.00851   0.00298  -0.0808   0.4634   1.0000
   4.250   0.8529   0.00883   0.00315  -0.0797   0.4320   1.0000
   4.500   0.8754   0.00915   0.00336  -0.0787   0.4067   1.0000
   4.750   0.8986   0.00945   0.00356  -0.0779   0.3876   1.0000
   5.000   0.9220   0.00975   0.00376  -0.0771   0.3710   1.0000
   5.250   0.9455   0.01005   0.00398  -0.0763   0.3571   1.0000
   5.500   0.9699   0.01029   0.00420  -0.0757   0.3470   1.0000
   5.750   0.9939   0.01057   0.00443  -0.0751   0.3384   1.0000
   6.000   1.0188   0.01078   0.00465  -0.0746   0.3302   1.0000
   6.250   1.0422   0.01110   0.00491  -0.0739   0.3213   1.0000
   6.500   1.0675   0.01129   0.00516  -0.0735   0.3141   1.0000
   6.750   1.0908   0.01160   0.00541  -0.0728   0.3029   1.0000
   7.000   1.1154   0.01181   0.00563  -0.0723   0.2916   1.0000
   7.250   1.1381   0.01215   0.00591  -0.0715   0.2799   1.0000
   7.500   1.1630   0.01234   0.00613  -0.0710   0.2694   1.0000
   7.750   1.1860   0.01265   0.00640  -0.0703   0.2568   1.0000
   8.000   1.2083   0.01299   0.00672  -0.0695   0.2408   1.0000
   8.250   1.2299   0.01339   0.00704  -0.0686   0.2204   1.0000
   8.500   1.2491   0.01394   0.00744  -0.0673   0.1904   1.0000
   8.750   1.2647   0.01473   0.00802  -0.0656   0.1579   1.0000
   9.000   1.2809   0.01546   0.00861  -0.0639   0.1337   1.0000
   9.250   1.2970   0.01614   0.00920  -0.0622   0.1161   1.0000
   9.500   1.3121   0.01680   0.00978  -0.0604   0.1025   1.0000
   9.750   1.3290   0.01734   0.01032  -0.0588   0.0940   1.0000
  10.000   1.3434   0.01804   0.01097  -0.0569   0.0837   1.0000
  10.250   1.3597   0.01863   0.01157  -0.0553   0.0752   1.0000
  10.500   1.3711   0.01954   0.01243  -0.0531   0.0603   1.0000
  10.750   1.3769   0.02083   0.01353  -0.0504   0.0396   1.0000
  11.000   1.3802   0.02231   0.01489  -0.0475   0.0239   1.0000
  11.250   1.3913   0.02333   0.01596  -0.0456   0.0198   1.0000
  11.500   1.4024   0.02435   0.01708  -0.0438   0.0188   1.0000
  11.750   1.4120   0.02552   0.01835  -0.0420   0.0179   1.0000
  12.000   1.4202   0.02683   0.01976  -0.0402   0.0171   1.0000
  12.250   1.4266   0.02831   0.02134  -0.0384   0.0163   1.0000
  12.500   1.4317   0.02997   0.02310  -0.0366   0.0155   1.0000
  12.750   1.4350   0.03185   0.02508  -0.0350   0.0148   1.0000
  13.000   1.4361   0.03399   0.02735  -0.0334   0.0141   1.0000
  13.250   1.4350   0.03643   0.02993  -0.0320   0.0136   1.0000
  13.500   1.4315   0.03924   0.03288  -0.0307   0.0132   1.0000
  13.750   1.4247   0.04246   0.03625  -0.0296   0.0128   1.0000
  14.000   1.4152   0.04615   0.04013  -0.0287   0.0125   1.0000
  14.250   1.4031   0.05028   0.04443  -0.0282   0.0122   1.0000
  14.500   1.3984   0.05372   0.04799  -0.0280   0.0120   1.0000
  14.750   1.3993   0.05664   0.05101  -0.0280   0.0119   1.0000
  15.000   1.3986   0.05985   0.05432  -0.0283   0.0117   1.0000
  15.250   1.3957   0.06343   0.05801  -0.0287   0.0115   1.0000
  15.500   1.3912   0.06727   0.06196  -0.0292   0.0113   1.0000
  15.750   1.3857   0.07134   0.06615  -0.0299   0.0111   1.0000
  16.000   1.3794   0.07563   0.07056  -0.0308   0.0109   1.0000
  16.250   1.3724   0.08012   0.07516  -0.0318   0.0108   1.0000
  16.500   1.3650   0.08472   0.07987  -0.0330   0.0106   1.0000
  16.750   1.3571   0.08942   0.08469  -0.0342   0.0105   1.0000
  17.000   1.3494   0.09419   0.08957  -0.0356   0.0103   1.0000
  17.250   1.3416   0.09906   0.09454  -0.0371   0.0102   1.0000
  17.500   1.3337   0.10402   0.09961  -0.0388   0.0101   1.0000
  17.750   1.3258   0.10905   0.10476  -0.0405   0.0099   1.0000
  18.000   1.3177   0.11411   0.10992  -0.0424   0.0098   1.0000
  18.250   1.3099   0.11919   0.11511  -0.0444   0.0097   1.0000
  18.500   1.3024   0.12429   0.12031  -0.0465   0.0096   1.0000
  18.750   1.2947   0.12953   0.12565  -0.0488   0.0095   1.0000
  19.000   1.2873   0.13476   0.13099  -0.0511   0.0094   1.0000
  19.250   1.2802   0.14000   0.13632  -0.0536   0.0093   1.0000
  19.500   1.2727   0.14537   0.14179  -0.0563   0.0092   1.0000
  19.750   1.2661   0.15061   0.14712  -0.0590   0.0091   1.0000
  20.000   1.2586   0.15622   0.15283  -0.0620   0.0090   1.0000
